State,Jan,Feb,Mar,Q1,Apr,May,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Total
Alabama,1449569,1306162,1543399,4299130,1578949,1604437,1536669,4720055,1634205,1683795,1605354,4923354,1526905,1465505,1533540,4525950,18468489
Alaska,137267,123685,140775,401727,127429,129466,125406,382301,128501,132410,126547,387458,123187,118242,125943,367372,1538858
Arizona,656379,591458,703186,1951023,727210,738944,697187,2163341,682834,703554,669473,2055861,623037,598082,634568,1855687,8025912
Arkansas,3147,2880,3361,9388,2130,2118,2278,6526,6766,7018,6733,20517,10762,10304,10853,31919,68350
Colorado,1800497,1622403,1907146,5330046,1797387,1826399,1748928,5372714,1961489,2021017,1950573,5933079,2155021,2068686,2190445,6414152,23049991
Illinois,4758836,4288136,4842946,13889918,4726215,4802484,4503394,14032093,4384544,4517580,4328699,13230823,4487746,4307956,4562867,13358569,54511403
Indiana,3309700,2982348,3488732,9780780,3559857,3617303,3420022,10597182,3650661,3761434,3592054,11004149,3537471,3395748,3572265,10505484,41887595
Kansas,1997,1821,2035,5853,2222,2220,2145,6587,2641,2729,2672,8042,2377,2264,2367,7008,27490
Kentucky Total,6532603,5886448,6942982,19362033,6747869,6856729,6502555,20107153,6555811,6754750,6468627,19779188,6461933,6203106,6565918,19230957,78479331
Eastern (KY),3039892,2739211,3296643,9075746,3223229,3275238,3112673,9611140,3094538,3188444,3059214,9342196,3028524,2907248,3082177,9017949,37047031
Western (KY),3492711,3147237,3646339,10286287,3524640,3581491,3389882,10496013,3461273,3566306,3409413,10436992,3433409,3295858,3483741,10213008,41432300
Louisiana,262213,236269,249467,747949,215013,218477,206227,639717,193185,199052,190639,582876,112857,108447,118006,339310,2309852
Maryland,170312,153479,166698,490489,156478,158982,147928,463388,132310,136318,131278,399906,126001,120943,128958,375902,1729685
Mississippi,291409,262588,313687,867684,345871,351452,332860,1030183,402585,414799,396887,1214271,403351,387180,404780,1195311,4307449
Missouri,32098,28925,34866,95889,34298,34854,31738,100890,32359,33360,32108,97827,33011,31660,33561,98232,392838
Montana,3662807,3300517,3874602,10837926,4061175,4126695,3772426,11960296,4058114,4181258,3992393,12231765,3802594,3650249,3845594,11298437,46328424
New Mexico,1996711,1799213,1962008,5757932,1967120,1998860,1870276,5836256,1800690,1855337,1778280,5434307,1673863,1606807,1703892,4984562,22013057
North Dakota,2337516,2106300,2432576,6876392,2267938,2304530,2207618,6780086,2381700,2453978,2357484,7193162,2692466,2584601,2724409,8001476,28851116
Ohio,2224348,2004338,2263322,6492008,2209155,2244804,2075419,6529378,1915521,1973645,1889577,5778743,1770648,1699578,1790930,5261156,24061285
Oklahoma,104979,94600,108584,308163,105494,107218,98589,311301,97400,100337,95383,293120,87922,84397,88630,260949,1173533
Pennsylvania Total,4969407,4477870,5081859,14529136,4641841,4716756,4541117,13899714,4724309,4867667,4664697,14256673,5093053,4889129,5195010,15177192,57862715
Anthracite (PA),176077,158659,181310,516046,176897,179744,168051,524692,165457,170486,162912,498855,151903,145820,154521,452244,1991837
Bituminous (PA),4793330,4319211,4900549,14013090,4464944,4537012,4373066,13375022,4558852,4697181,4501785,13757818,4941150,4743309,5040489,14724948,55870878
Tennessee,101510,91481,101012,294003,93470,95001,85054,273525,76705,79044,75291,231040,66365,63700,67178,197243,995811
Texas,3631626,3272411,3664775,10568812,3551489,3608789,3425829,10586107,3826586,3942694,3772513,11541793,3700858,3552587,3766248,11019693,43716405
Utah,1524912,1374071,1581861,4480844,1497122,1521278,1428628,4447028,1430908,1474319,1410969,4316196,1457391,1399005,1484685,4341081,17585149
Virginia,1318206,1187842,1413092,3919140,1407948,1430665,1375388,4214001,1413074,1455956,1394157,4263187,1409689,1353155,1421904,4184748,16581076
West Virginia Total,9609822,8659291,10026124,28295237,9857560,10016623,9426364,29300547,9272209,9553542,9147555,27973306,9034520,8672751,9190977,26898248,112467338
Northern (WV),3752736,3381546,3937023,11071305,3893544,3956379,3756293,11606216,3808424,3923976,3758667,11491067,3981554,3822037,4055336,11858927,46027515
Southern (WV),5857086,5277745,6089101,17223932,5964016,6060244,5670071,17694331,5463785,5629566,5388888,16482239,5052966,4850714,5135641,15039321,66439823
Wyoming,32297401,29102800,33639847,95040048,32674154,33201352,31280356,97155862,33598072,34617552,33167630,101383254,33752259,32400060,34250821,100403140,393982304
Appalachian Total,22883066,20619674,23892149,67394889,23168630,23542506,22300612,69011748,22262871,22938411,21967123,67168405,22055705,21172009,22410674,65638388,269213430
Interior Total,15888716,14317215,16354792,46560723,16067229,16326406,15412964,47806599,16058000,16545309,15827101,48430410,15809764,15176401,16043318,47029483,189827215
Western Total,44413490,40020447,46242001,130675938,45119535,45847524,43130825,134097884,46042308,47439425,45453349,138935082,46279818,44425732,46960357,137665907,541374811
East of Mississippi River,34735722,31299983,36183853,102219558,35325213,35895236,33946770,105167219,34161934,35198530,33694176,103054640,33917682,32558751,34434327,100910760,411352177
West of Mississippi River,48449550,43657353,50305089,142411992,49030181,49821200,46897631,145749012,50201245,51724615,49553397,151479257,50227605,48215391,50980022,149423018,589063279
Bituminous and Lignite,83009195,74798677,86307632,244115504,84178497,85536692,80676350,250391539,84197722,86752659,83084661,254035042,83993384,80628322,85259828,249881534,998423619
Anthracite,176077,158659,181310,516046,176897,179744,168051,524692,165457,170486,162912,498855,151903,145820,154521,452244,1991837
US Total,83185272,74957336,86488942,244631550,84355394,85716436,80844401,250916231,84363179,86923145,83247573,254533897,84145287,80774142,85414349,250333778,1000415456
