State,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,week_53
Alabama,184682,214502,210392,206786,216175,203289,209016,213220,206365,198775,198097,179068,183710,161417,147884,162629,141544,162552,160621,155754,168966,169386,154021,174865,183175,175512,182838,149699,163562,173478,186814,171908,187607,189399,180303,190827,179463,178376,186533,195195,188238,172925,169095,193379,182534,172312,196003,163975,167675,179985,169411,173297,127681
Alaska,12768,14306,14680,15661,14353,14176,15831,14154,14386,15055,13147,12478,13902,13895,13694,13784,14724,15052,13607,16206,15638,14349,18902,19114,18335,21573,20699,19943,20411,21715,24889,21449,22332,23646,21429,22727,22410,21204,23261,26440,27745,26257,28501,28476,27706,29047,28858,24888,28260,24948,24193,24909,20970
Arizona,95812,107916,104463,106784,104099,100902,107930,102658,102413,102636,95383,88868,94854,84686,81397,85293,84873,89455,84225,93394,92979,88818,95470,99468,99291,108790,106138,88461,106301,106648,110373,111773,112750,109177,114295,114695,103443,113084,111166,113435,107839,105165,109436,110683,110966,111507,112165,99675,108493,108546,108517,104606,87121
Arkansas,1498,1649,1865,1898,1777,1802,1927,1759,1819,1813,1613,1561,1658,1246,1185,1267,1249,1309,1256,1376,1362,1324,1305,1347,1370,1482,1436,1185,1476,1461,1479,1559,1551,1461,1576,1558,1400,1577,1332,1274,1151,1097,1013,1183,1171,1049,1206,1051,1022,1121,1098,1033,753
Colorado,246194,279004,281305,281160,285646,271760,284188,281736,275864,270254,261754,239386,249768,219277,206943,219712,212137,227434,216968,233413,236399,228817,233618,247612,250455,266214,262361,206020,263504,258398,257040,277121,280029,259437,291877,284870,245788,288734,267985,255648,224554,219842,210854,230594,232060,214869,233725,208450,209075,214774,215527,198061,152423
Illinois,840503,977003,946930,943974,957397,914849,954093,944305,928593,907372,877306,805851,838534,720070,666146,718954,654540,732227,710006,720241,761057,748822,727792,805248,827780,829381,860525,749521,863562,868045,935206,907912,917767,925171,928057,933588,876553,918211,926819,983816,1019631,944902,944543,1047284,997235,962534,1061399,895859,936543,960997,912540,931054,707649
Indiana,459575,527148,527040,519407,538996,509235,525019,531636,516916,499297,493934,448592,461438,429050,400173,428345,406344,439832,423000,447127,457145,446116,474458,507694,517644,540689,546315,473650,566134,561289,590959,595282,586957,579542,600591,597082,549074,594204,592071,620445,610641,595169,625309,626693,627965,637157,635082,564091,619924,597701,597266,579078,486571
Kansas,2909,3791,3671,3602,3852,3547,3644,3797,3595,3459,3523,3151,3219,3027,2797,3109,2646,3077,3083,2929,3209,3254,3064,3515,3718,3492,3789,3250,4315,3968,4055,4539,4197,4015,4640,4269,3796,4591,3383,3479,3305,3479,3787,3386,3672,3863,3435,3289,3740,2483,2687,2371,2267
Kentucky Total,783018,889044,879252,871551,894517,849479,880973,882272,862298,837787,819723,748296,774276,726233,675882,714792,691478,742843,705865,760858,772087,744428,805294,855221,861572,917672,917114,788419,933082,932290,983721,981077,985615,972349,1003075,1002602,921266,992388,971327,1007689,975508,939983,959004,1001461,991728,977007,1014726,890870,950628,914758,903709,877985,708939
Eastern (KY),351516,396325,388418,386663,393470,375247,390841,388074,380914,371677,360555,330543,343505,317490,295105,309376,303629,324333,305513,334084,337109,322197,353735,373540,373056,403089,399022,337071,399440,400629,420574,419980,422161,413944,427946,429434,392207,423386,411045,420244,398395,381006,378717,409095,401923,385718,414408,361044,375317,362773,355619,344919,269000
Western (KY),431502,492719,490834,484888,501047,474232,490132,494198,481384,466110,459168,417753,430771,408743,380777,405416,387849,418510,400352,426774,434978,422231,451559,481681,488516,514583,518092,451348,533642,531661,563147,561097,563454,558405,575129,573168,529059,569002,560282,587445,577113,558977,580287,592366,589805,591289,600318,529826,575311,551985,548090,533066,439939
Louisiana,53135,57309,58602,55970,58189,56632,56573,57400,57482,53803,53324,49890,49718,43670,43942,53834,42470,48312,53163,46741,50204,56077,45303,50935,59434,51626,58082,56505,73347,68442,70486,77149,72423,69772,78939,73673,66091,78095,71232,72006,69472,68480,67609,71326,72270,68901,72286,64915,67046,61925,62565,57734,46136
Maryland,28725,33919,30915,30674,32199,29877,31006,31767,30325,29487,29514,26310,27242,28318,25810,26456,26470,28375,26123,29122,29486,27544,29476,31229,30475,33577,34422,36883,35440,37694,46027,37242,31018,31636,30846,31555,29974,30525,29924,32167,32062,30344,31029,32922,32141,31701,33445,28866,30840,31289,30388,30297,24045
Mississippi,34670,39732,41269,42600,42019,39853,43055,41440,40462,40946,38501,35119,37844,37308,37720,41452,38544,41454,40940,42403,43084,43185,47898,50926,53324,54584,55232,47080,59339,57789,58732,62407,61119,58111,63835,62173,55054,63154,61349,62549,60525,61056,66736,62074,64400,68000,62908,57855,66158,57444,59428,55929,50567
Missouri,2031,2029,2110,2027,2057,2033,2064,2034,2065,1939,1867,1771,1778,1626,1486,1600,1525,1637,1579,1676,1701,1662,1778,1887,1932,2023,1959,1342,1955,1854,1671,2061,1963,1650,2093,1984,1578,2089,2604,2419,2171,2442,3027,2223,2571,3073,2239,2298,3001,2419,2793,2433,2765
Montana,595244,671674,664470,646872,674051,642074,653860,664873,651755,621843,617718,565613,574678,509805,477430,524714,479867,524756,518171,528037,545422,546501,549882,594463,622399,626635,650374,598026,707918,697032,746146,744358,737158,738299,761345,749887,699484,753251,696116,730048,716974,683902,676632,736293,721797,689505,746227,648405,670893,697012,681397,662104,512521
New Mexico,199109,250391,233967,218295,259981,226211,220706,256492,229666,209910,238321,199316,194024,243910,235733,262154,244836,259085,258869,269413,269264,273022,314188,328669,348176,358060,366961,358293,416023,412983,447018,437426,444106,447409,452330,451783,423881,447550,396399,420786,426641,402371,405694,438125,424622,413420,444017,381460,402239,348537,336863,336122,262262
North Dakota,356512,426705,434775,424861,452826,420154,429454,446680,426486,408437,414998,370133,377456,384102,361713,393485,365100,397580,388565,401759,413214,409817,437155,470602,487609,498184,515028,476911,561733,552548,595007,590660,584321,588890,603991,594420,557920,597606,588749,631439,720540,648093,645583,740301,684004,657930,750274,614516,640129,687882,633794,674901,496694
Ohio,214828,247321,241299,230458,251690,233210,232980,248279,236748,221582,230685,205449,204773,197064,175782,187197,175671,193197,184865,193298,200810,194962,220685,239938,243411,251474,257474,225393,264418,262618,281227,278016,279524,280061,286190,284342,265343,283150,290908,311950,315365,307883,329596,323608,324821,335831,327927,291776,326739,296083,296375,289474,248074
Oklahoma,8949,10326,11079,11310,11217,10701,11432,11056,10850,10883,10260,9439,10052,9768,9305,9635,9690,10228,9511,10674,10635,10034,11460,11950,11778,13039,12828,11434,12823,13117,14263,13480,13868,14114,13785,14112,13374,13643,14169,15293,15363,14668,15353,15774,15470,15643,15987,13897,15228,14197,13890,13883,11385
Pennsylvania Total,655556,744656,736814,713543,754368,712004,721293,744094,722771,685961,691329,627230,633954,606695,567291,625074,568819,623523,617301,625917,648077,651037,683898,741109,777896,779355,807605,722778,877140,856955,901768,922367,906139,891506,944160,921782,844634,934089,931470,968503,949596,926454,953981,974710,972170,968584,984059,873312,942385,928153,926754,891077,735035
Anthracite (PA),25747,31964,32243,30831,34787,31165,31172,34323,31639,29649,31883,27453,27393,30128,29127,31805,30538,32018,31408,33604,33272,33124,34965,36233,37696,39854,40366,39687,45252,45246,49518,47581,46533,47098,48175,47337,44621,47661,44591,47693,47701,45959,46845,48973,48498,47741,49626,43570,46447,40053,39562,38429,30973
Bituminous (PA),629809,712692,704571,682712,719581,680839,690121,709771,691132,656312,659446,599777,606561,576567,538164,593269,538281,591505,585893,592313,614805,617913,648933,704876,740200,739501,767239,683091,831888,811709,852250,874786,859606,844408,895985,874445,800013,886428,886879,920810,901895,880495,907136,925737,923672,920843,934433,829742,895938,888100,887192,852648,704062
Tennessee,11603,13154,13698,14156,13562,13229,14304,13377,13434,13602,12425,11654,12579,11301,10951,11406,11501,12040,11257,12654,12521,11883,13609,14075,13956,15493,15261,14311,15682,16129,17855,16487,19328,19475,19688,19657,18451,19486,17910,19373,19720,19252,20780,20232,20306,21179,20504,18244,20603,17508,17535,17207,14857
Texas,387855,417925,421918,398279,423525,407754,402625,417752,413935,382902,388150,359209,353882,362336,348029,413164,337982,382544,408058,371912,397631,430375,461744,516734,584500,526218,592655,629312,732780,707750,785160,770495,767426,789757,801016,780682,748245,792564,851543,945154,995740,970288,1040326,1021800,1023606,1060078,1035416,919543,1031336,959917,958982,940175,805313
Utah,177948,198494,202239,201196,202358,195372,203366,199580,198319,193395,185420,172103,178737,170898,165350,182666,167789,181732,180387,184620,188895,190248,209911,224764,236554,239217,247046,229000,271898,267822,285715,285902,262422,266364,266381,266938,252369,263554,281963,305331,310273,299499,316635,318449,315987,322641,322709,283867,313912,304692,301521,297568,249065
Virginia,168055,194757,201248,202472,205616,194420,204648,202793,197351,194618,188414,171251,179850,174856,164619,172256,169546,180932,170101,186567,188045,179398,203588,214771,214055,232004,231356,208383,234469,238279,260004,246494,254961,261489,254908,259346,247743,252212,266493,291496,297607,285106,301801,305465,301111,306955,309051,270483,298652,286779,282353,280487,233219
West Virginia Total,1261334,1469360,1415780,1383168,1467209,1368095,1398162,1447217,1388770,1329688,1344615,1205204,1228874,1169314,1070664,1152067,1060704,1176836,1137733,1167166,1223181,1199919,1239482,1359456,1393440,1412483,1459075,1317226,1456144,1490695,1643638,1530704,1574599,1624719,1563686,1601681,1539421,1547129,1620063,1762641,1788837,1678254,1706616,1836932,1771045,1739071,1861639,1590986,1692070,1742433,1675201,1691621,1324055
Northern (WV),643703,752839,724789,706360,754042,700417,714012,743795,710992,679057,691045,617025,627564,616461,561229,592572,566950,616870,585164,623863,641136,617157,660958,710931,714992,753217,772620,735160,801060,814615,917323,842059,859128,905367,858982,873910,857844,849913,884301,990591,1032633,973406,1006419,1060236,1027125,1025548,1074460,922704,997801,999104,965229,975754,780254
Southern (WV),617631,716521,690991,676808,713167,667678,684150,703422,677778,650631,653570,588179,601310,552853,509435,559495,493754,559966,552569,543303,582045,582762,578524,648525,678448,659266,686455,582066,655084,676080,726315,688645,715471,719352,704704,727771,681577,697216,735762,772050,756204,704848,700197,776696,743920,713523,787179,668282,694269,743329,709972,715867,543801
Wyoming,4934808,5612669,5641089,5534535,5743734,5450672,5594268,5665346,5532836,5320289,5263562,4801538,4916829,4668099,4351859,4682258,4421976,4783167,4623724,4865837,4971416,4876492,5026737,5375101,5508655,5728403,5896365,5509604,6497401,6361486,6874172,6831834,6728713,6803862,6987146,6844773,6446269,6913003,6521006,6965804,6688618,6623130,6828834,6864509,6988397,6958389,6956599,6277702,6770233,6376472,6473789,6067958,5088217
Appalachian Total,2876299,3313994,3238564,3167920,3334289,3129371,3202250,3288821,3176678,3045390,3055634,2756709,2814487,2666455,2458106,2646461,2457884,2701788,2613514,2704562,2808195,2756326,2898494,3148983,3229464,3302987,3387053,3011744,3446295,3476477,3757907,3623198,3675337,3712229,3707727,3738624,3517236,3668353,3754346,4001569,3989820,3801224,3891615,4096343,4006051,3961351,4147036,3598686,3854281,3845003,3753636,3718379,2975966
Interior Total,2222627,2529631,2505318,2463955,2540076,2420638,2490564,2505377,2457101,2368524,2327646,2132336,2188894,2016844,1891560,2076776,1882839,2079130,2050948,2071853,2161006,2163080,2226361,2431917,2549996,2537117,2650913,2424627,2849373,2815376,3025158,2995981,2990725,3001998,3069661,3042289,2844224,3037130,3084784,3293880,3355112,3220558,3347990,3444109,3398165,3411587,3490276,3052624,3319309,3210189,3159339,3116756,2553345
Western Total,6618395,7561159,7576988,7429364,7737048,7321321,7509603,7631519,7431725,7141819,7090303,6449435,6600248,6294672,5894119,6364066,5991302,6478261,6284516,6592679,6733227,6628064,6885863,7359793,7571474,7847076,8064972,7486258,8845189,8678632,9340360,9300523,9171831,9237084,9498794,9330093,8751564,9397986,8886645,9448931,9223184,9008259,9222169,9467430,9505539,9397308,9594574,8538963,9143234,8762863,8775601,8366229,6869273
East of Mississippi River,4642549,5350596,5244637,5158789,5373748,5067540,5214549,5300400,5144033,4959115,4924543,4464024,4583074,4261626,3942922,4240628,3945161,4333811,4187812,4341107,4504459,4416680,4600201,4994532,5116728,5242224,5367217,4733343,5468972,5495261,5905951,5749896,5804634,5833458,5875339,5904635,5526976,5812924,5894867,6255824,6257730,5961328,6108490,6424760,6285456,6220331,6506743,5646317,6052217,6013130,5870960,5817506,4660692
West of Mississippi River,7074772,8054188,8076233,7902450,8237665,7803790,7987868,8125317,7921471,7596618,7549040,6874456,7020555,6716345,6300863,6846675,6386864,6925368,6761166,7027987,7197969,7130790,7410517,7946161,8234206,8444956,8735721,8189286,9671885,9475224,10217474,10169806,10033259,10117853,10400843,10206371,9586048,10290545,9830908,10488556,10310386,10068713,10353284,10583122,10624299,10549915,10725143,9543956,10264607,9804925,9817616,9383858,7737892
Bituminous and Lignite,11691574,13372820,13288627,13030408,13576626,12840165,13171245,13391394,13033865,12526084,12441700,11311027,11576236,10947843,10214658,11055498,10301487,11227161,10917570,11335490,11669156,11514346,11975753,12904460,13313238,13647326,14062572,12882942,15095605,14925239,16073907,15872121,15791360,15904213,16228007,16063669,15068403,16055808,15681184,16696687,16520415,15984082,16414929,16958909,16861257,16722505,17182260,15146703,16270377,15778002,15649014,15162935,12367611
Anthracite,25747,31964,32243,30831,34787,31165,31172,34323,31639,29649,31883,27453,27393,30128,29127,31805,30538,32018,31408,33604,33272,33124,34965,36233,37696,39854,40366,39687,45252,45246,49518,47581,46533,47098,48175,47337,44621,47661,44591,47693,47701,45959,46845,48973,48498,47741,49626,43570,46447,40053,39562,38429,30973
US Total,11717321,13404784,13320870,13061239,13611413,12871330,13202417,13425717,13065504,12555733,12473583,11338480,11603629,10977971,10243785,11087303,10332025,11259179,10948978,11369094,11702428,11547470,12010718,12940693,13350934,13687180,14102938,12922629,15140857,14970485,16123425,15919702,15837893,15951311,16276182,16111006,15113024,16103469,15725775,16744380,16568116,16030041,16461774,17007882,16909755,16770246,17231886,15190273,16316824,15818055,15688576,15201364,12398584
